Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
116,COUNT_UP,0.006470,1.006491,294.06,0.000000000,0.000000000,0.0000,0.012301,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
117,COUNT_UP,0.006978,1.007002,294.08,0.000000000,0.000000000,0.0000,0.013007,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
118,COUNT_UP,0.015968,1.016096,294.06,0.000000000,0.000000000,0.0000,0.064317,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
119,COUNT_UP,0.008445,1.008481,294.08,0.000000000,0.000000000,0.0000,0.034173,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
120,COUNT_UP,0.006236,1.006255,294.06,0.000000000,0.000000000,0.0000,0.012184,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
121,COUNT_UP,0.006046,1.006064,294.08,0.000000000,0.000000000,0.0000,0.011730,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
122,COUNT_UP,0.008341,1.008376,294.06,0.000000000,0.000000000,0.0000,0.033434,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
123,COUNT_UP,0.005861,1.005879,294.08,0.000000000,0.000000000,0.0000,0.013851,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
124,COUNT_UP,0.006196,1.006215,294.06,0.000000000,0.000000000,0.0000,0.013420,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
125,COUNT_UP,0.006959,1.006983,294.08,0.000000000,0.000000000,0.0000,0.024206,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
126,COUNT_UP,0.006649,1.006672,294.06,0.000000000,0.000000000,0.0000,0.021254,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
127,COUNT_UP,0.005829,1.005846,294.08,0.000000000,0.000000000,0.0000,0.011059,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
128,COUNT_UP,0.005542,1.005558,294.06,0.000000000,0.000000000,0.0000,0.011832,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
129,COUNT_UP,0.006511,1.006532,294.08,0.000000000,0.000000000,0.0000,0.017215,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
130,COUNT_UP,0.005706,1.005722,294.06,0.000000000,0.000000000,0.0000,0.011556,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
131,COUNT_UP,0.006777,1.006800,294.08,0.000000000,0.000000000,0.0000,0.022034,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
132,COUNT_UP,0.005451,1.005466,294.06,0.000000000,0.000000000,0.0000,0.010889,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
133,COUNT_UP,0.005208,1.005222,294.08,0.000000000,0.000000000,0.0000,0.010711,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
134,COUNT_UP,0.005021,1.005034,294.06,0.000000000,0.000000000,0.0000,0.009970,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
135,COUNT_UP,0.005170,1.005184,294.08,0.000000000,0.000000000,0.0000,0.009899,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
136,COUNT_UP,0.006685,1.006707,294.06,0.000000000,0.000000000,0.0000,0.022743,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
